Peak Amplitude (dB),Peak Time (us),Estimated Range (m)
19.830787079782773,7.3486775812112555,1102.3016371816884
19.97762490176304,7.341177581211255,1101.1766371816882
19.990857336529466,7.436177581211255,1115.4266371816882
19.994391467856254,7.331177581211255,1099.6766371816882
20.004188185686623,7.3261775812112555,1098.9266371816882
20.026122169899125,7.321177581211256,1098.1766371816882
20.009000238065447,7.316177581211256,1097.4266371816882
19.970427125453266,7.311177581211256,1096.6766371816884
19.943988664184644,7.306177581211255,1095.9266371816884
19.965543951693586,7.301177581211255,1095.1766371816884
20.036455993193535,7.296177581211255,1094.4266371816884
20.07619098864786,7.291177581211255,1093.6766371816884
20.06193389409195,7.2861775812112555,1092.9266371816884
19.982205759448625,7.281177581211255,1092.1766371816882
19.903868777235896,7.276177581211255,1091.4266371816882
19.909249352015443,7.361177581211255,1104.1766371816882
19.9908898363639,7.356177581211255,1103.4266371816882
20.043781223228873,7.261177581211255,1089.1766371816882
19.994103547042258,7.258677581211256,1088.8016371816884
12.992773029297226,7.323677581211255,1098.5516371816882
13.263910004541223,7.318677581211255,1097.8016371816882
13.110861484273862,7.258677581211256,1088.8016371816884
13.152251368886258,7.223677581211255,1083.5516371816882
13.052310622146518,7.218677581211255,1082.8016371816882
20.109977541090384,7.311177581211256,1096.6766371816884
20.10448305949835,7.306177581211255,1095.9266371816884
19.968072953189434,7.301177581211255,1095.1766371816884
19.836926600612284,7.296177581211255,1094.4266371816884
19.861835727908993,7.291177581211255,1093.6766371816884
20.012007465258428,7.2861775812112555,1092.9266371816884
20.113824014933076,7.281177581211255,1092.1766371816882
20.11770416475168,7.276177581211255,1091.4266371816882
19.97689573646091,7.271177581211255,1090.6766371816882
19.828221254412263,7.266177581211255,1089.9266371816882
19.849317090636823,7.186177581211255,1077.9266371816882
19.957644948257602,7.181177581211255,1077.1766371816882
20.01557006351108,7.176177581211255,1076.4266371816882
20.052833732682743,7.246177581211255,1086.9266371816882
19.98729787292741,7.2411775812112555,1086.1766371816882
19.92309297956746,7.236177581211256,1085.4266371816882
19.905142520005356,7.231177581211255,1084.6766371816882
19.998723694968515,7.156177581211256,1073.4266371816882
19.993800096062103,7.221177581211255,1083.1766371816884
19.97071298367847,7.216177581211255,1082.4266371816884
19.948319775431962,7.211177581211255,1081.6766371816884
20.00532727249453,7.206177581211255,1080.9266371816884
20.082074507481586,7.136177581211255,1070.4266371816882
20.06100595852491,7.196177581211255,1079.4266371816882
13.191503782387572,7.113677581211255,1067.0516371816882
12.275722286390483,7.203677581211255,1080.5516371816882
19.824995861845945,7.121177581211255,1068.1766371816884
13.107964846042401,7.163677581211256,1074.5516371816884
13.988224586468181,7.128677581211255,1069.3016371816882
13.489690386651098,7.183677581211255,1077.5516371816882
20.045003776598676,7.106177581211256,1065.9266371816884
19.807778908094114,7.1611775812112555,1074.1766371816882
19.78164777660082,7.156177581211256,1073.4266371816882
19.94983477118634,7.096177581211255,1064.4266371816882
20.104037404732665,7.091177581211255,1063.6766371816882
14.334382281908802,7.103677581211255,1065.5516371816882
13.05484073832736,7.153677581211255,1073.0516371816882
19.89891381635327,7.081177581211255,1062.1766371816882
19.825263450857623,7.131177581211255,1069.6766371816884
19.966003419085048,7.126177581211255,1068.9266371816884
20.007931035145226,7.071177581211255,1060.6766371816882
13.00665785407654,7.081177581211255,1062.1766371816882
12.977986897717965,7.0986775812112555,1064.8016371816882
20.041086658412443,7.061177581211255,1059.1766371816882
20.103560617219177,7.106177581211256,1065.9266371816884
20.055742406595094,7.101177581211255,1065.1766371816882
19.826002802091285,7.051177581211255,1057.6766371816882
11.787445228237043,7.108677581211255,1066.3016371816882
19.874651827365568,7.046177581211255,1056.9266371816884
20.18354608139429,7.086177581211255,1062.9266371816882
20.21421435227371,7.081177581211255,1062.1766371816882
20.101998495145605,7.0361775812112555,1055.4266371816884
12.38278882635968,7.018677581211255,1052.8016371816882
19.687891152233178,7.031177581211256,1054.6766371816884
19.85627554626913,7.066177581211255,1059.9266371816882
20.007266554363007,7.023677581211255,1053.5516371816882
20.10550378523703,7.021177581211256,1053.1766371816884
20.03798123064415,7.056177581211255,1058.4266371816882
19.914403103663375,7.016177581211255,1052.4266371816882
15.273249842821881,7.031177581211256,1054.6766371816884
20.02476582912766,7.011177581211255,1051.6766371816882
19.7197698325129,7.043677581211255,1056.5516371816882
19.742712902009714,7.006177581211255,1050.9266371816882
13.839917250506064,7.018677581211255,1052.8016371816882
20.277969984299244,7.031177581211256,1054.6766371816884
15.995338922714051,7.0136775812112555,1052.0516371816882
